,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Financial_Advice,Review_Financial_Plan,Tax_Saving_Schemes,Profile_Risk,Investment_Readiness
254,5,5,4,4,4,5,4,4
255,4,4,4,4,4,4,4,4
256,5,4,5,5,5,4,4,4
257,4,5,5,5,4,4,4,5
258,3,3,4,4,3,2,2,3
259,5,5,5,5,5,5,5,5
260,4,3,4,4,5,4,4,4
261,4,5,3,3,3,4,3,3
262,4,4,4,4,4,4,4,5
263,5,4,5,3,2,4,5,2
264,3,4,4,3,4,4,4,4
265,1,2,3,2,1,2,2,3
266,5,5,3,3,3,5,3,4
267,3,3,4,3,3,5,5,5
268,4,4,4,4,2,5,4,1
269,5,4,4,4,2,5,3,4
270,5,5,5,3,5,5,5,5
271,4,5,5,4,5,5,5,4
273,5,4,3,3,4,4,5,4
274,5,4,3,3,4,4,5,4
275,4,4,4,3,4,4,3,3
276,5,5,4,4,4,4,4,5
277,2,3,2,1,3,2,2,4
278,3,4,3,4,4,3,4,4
279,2,2,2,2,2,4,4,2
280,4,4,5,3,4,4,4,5
281,3,3,3,3,3,3,3,3
282,5,4,3,3,4,4,4,4
283,4,4,3,2,3,4,2,2
284,3,3,1,2,2,2,2,2
285,4,4,5,5,4,4,5,5
286,4,4,4,4,3,3,4,4
287,4,5,4,3,4,5,5,4
288,4,3,4,2,4,5,2,4
289,3,3,2,3,2,2,3,3
290,5,5,5,4,5,5,5,5
291,3,4,4,1,4,1,5,1
292,2,2,2,2,2,3,3,3
293,3,3,1,1,3,3,3,3
294,4,4,4,4,4,4,1,1
295,4,3,5,2,4,4,4,5
296,3,1,1,1,1,1,1,1
297,1,1,1,1,1,1,2,2
298,1,1,1,1,1,1,2,2
299,4,4,4,4,4,4,4,4
300,3,4,4,4,4,4,4,4
301,4,4,4,3,3,4,2,2
302,5,5,5,5,5,5,5,5
303,4,3,5,3,5,1,5,5
304,4,4,4,4,4,4,4,4
305,4,4,3,4,3,5,4,5
306,3,3,3,3,3,3,3,3
307,4,4,3,2,4,3,3,4
308,3,5,4,2,4,3,4,3
309,4,2,2,2,3,4,4,2
310,4,4,4,2,3,3,2,3
311,1,1,2,1,1,2,1,2
312,3,4,5,1,2,3,5,4
313,4,4,5,1,3,1,5,2
314,4,4,5,1,3,1,5,2
315,4,5,5,2,4,4,2,5
316,5,4,4,4,3,5,5,4
317,2,3,2,3,3,3,3,3
318,4,4,3,3,4,3,3,4
319,4,4,3,3,4,3,3,4
320,4,4,5,3,4,4,3,4
321,3,3,3,3,3,3,3,3
322,2,1,4,2,4,2,2,2
323,3,3,3,1,1,2,2,1
324,4,4,4,4,4,4,4,4
325,4,3,4,3,3,4,3,3
326,3,3,3,2,2,3,2,2
327,4,5,5,2,5,4,4,5
328,4,4,4,4,4,4,3,3
329,4,4,5,4,4,4,3,3
330,3,3,2,2,2,3,3,2
331,1,1,1,2,1,1,1,1
332,4,4,4,4,4,4,4,4
333,4,4,4,2,4,4,5,2
334,4,3,2,2,4,4,4,3
335,2,3,3,2,2,2,4,4
336,3,4,3,3,3,4,1,4
337,2,4,4,2,4,4,2,4
338,3,3,3,3,3,1,2,3
339,1,1,1,1,1,1,1,3
340,3,1,1,3,1,1,1,3
341,5,5,4,2,4,4,4,4
342,3,3,4,4,4,4,4,3
343,4,4,4,4,4,3,3,4
344,1,1,2,3,1,3,3,3
345,3,4,4,3,4,4,3,2
346,4,5,4,4,5,4,4,4
347,4,4,3,4,3,4,4,3
348,1,1,1,1,2,2,2,1
349,2,3,5,2,2,2,2,4
350,4,4,5,3,4,4,3,4
351,4,4,4,4,4,4,4,4
352,4,4,4,3,4,4,3,4
353,2,4,2,2,2,4,2,2
354,4,4,4,3,4,4,4,3
355,2,3,2,1,2,1,3,1
356,4,3,2,2,4,4,4,2
357,5,4,5,2,2,2,3,3
358,4,4,4,2,3,3,3,3
359,4,4,4,2,2,4,4,2
360,1,2,3,1,2,1,3,3
361,4,4,4,2,4,2,3,3
362,4,4,5,3,3,3,4,4
363,3,1,1,1,1,3,2,1
364,4,4,4,4,4,4,4,4
365,4,4,3,3,4,4,3,4
366,4,4,4,4,4,4,4,4
367,5,4,5,2,4,5,5,5
368,3,2,3,3,1,2,3,3
369,4,3,4,2,2,3,2,1
370,4,4,2,2,3,4,3,3
371,4,4,5,4,5,3,5,5
372,4,4,3,4,3,2,4,4
373,1,1,3,3,1,3,2,2
374,5,5,5,5,5,5,5,5
375,5,4,5,4,4,4,4,5
376,3,4,2,2,3,2,3,3
377,4,5,4,3,4,3,4,5
378,4,5,4,3,4,3,4,5
379,4,4,4,2,4,4,4,4
380,4,3,5,4,4,5,4,2
381,4,4,4,3,3,5,3,3
382,2,2,4,4,4,4,4,3
383,2,2,4,4,4,4,4,3
384,2,2,2,2,2,2,1,1
385,4,4,4,3,5,5,5,3
386,5,5,4,3,5,5,5,5
387,4,4,4,4,4,3,3,3
388,4,5,5,5,4,4,5,5
389,4,3,4,4,4,3,4,3
390,5,5,4,4,4,5,4,4
391,4,4,4,4,4,4,4,4
392,5,4,5,5,5,4,4,4
393,4,5,5,5,4,4,4,5
394,3,3,4,4,3,2,2,3
395,5,5,5,5,5,5,5,5
396,4,3,4,4,5,4,4,4
397,4,5,3,3,3,4,3,3
398,4,4,4,4,4,4,4,5
399,5,4,5,3,2,4,5,2
400,3,4,4,3,4,4,4,4
401,1,2,3,2,1,2,2,3
402,5,5,3,3,3,5,3,4
403,3,3,4,3,3,5,5,5
404,4,4,4,1,2,5,4,1
405,5,4,4,1,2,5,3,4
406,5,5,5,3,5,5,5,5
407,4,5,5,4,5,5,5,4
409,5,4,3,2,4,4,5,4
410,5,4,3,2,4,4,5,4
411,4,4,4,3,4,4,3,3
412,5,5,4,4,4,4,4,5
413,2,3,2,1,3,2,2,4
414,3,4,3,4,4,3,4,4
415,2,2,2,2,2,4,4,2
416,4,4,5,3,4,4,4,5
417,3,3,3,3,3,3,3,3
418,5,4,3,3,4,4,4,4
419,4,4,3,2,3,4,2,2
420,3,3,1,2,2,2,2,2
421,4,4,5,5,4,4,5,5
422,4,4,4,4,3,3,4,4
423,4,5,4,3,4,5,5,4
424,4,3,4,2,4,5,2,4
425,3,3,2,3,2,2,3,3
426,5,5,5,4,5,5,5,5
427,3,4,4,1,4,1,5,1
428,2,2,2,2,2,3,3,3
429,3,3,1,1,3,3,3,3
430,4,4,4,4,4,4,1,1
431,4,3,5,2,4,4,4,5
432,3,1,1,1,1,1,1,1
433,1,1,1,1,1,1,2,2
434,1,1,1,1,1,1,2,2
435,4,4,4,4,4,4,4,4
436,3,4,4,4,4,4,4,4
437,4,4,4,3,3,4,2,2
438,5,5,5,5,5,5,5,5
439,4,3,5,3,5,1,5,5
440,4,4,4,4,4,4,4,4
441,4,4,3,4,3,5,4,5
442,3,3,3,3,3,3,3,3
443,4,4,3,2,4,3,3,4
444,3,5,4,2,4,3,4,3
445,4,2,2,2,3,4,4,2
446,4,4,4,2,3,3,2,3
447,1,1,2,1,1,2,1,2
448,3,4,5,1,2,3,5,4
449,4,4,5,1,3,1,5,2
450,4,4,5,1,3,1,5,2
451,4,5,5,2,4,4,2,5
452,5,4,4,4,3,5,5,4
453,2,3,2,3,3,3,3,3
454,4,4,3,3,4,3,3,4
455,4,4,3,3,4,3,3,4
456,4,4,5,3,4,4,3,4
457,3,3,3,3,3,3,3,3
458,2,1,4,2,4,2,2,2
459,3,3,3,1,1,2,2,1
460,4,4,4,4,4,4,4,4
461,4,3,4,3,3,4,3,3
462,3,3,3,2,2,3,2,2
463,4,5,5,2,5,4,4,5
464,4,4,4,4,4,4,3,3
465,4,4,5,4,4,4,3,3
466,3,3,2,2,2,3,3,2
467,1,1,1,2,1,1,1,1
468,4,4,4,4,4,4,4,4
469,4,4,4,2,4,4,5,2
470,4,3,2,2,4,4,4,3
471,2,3,3,2,2,2,4,4
472,3,4,3,3,3,4,1,4
473,2,4,4,2,4,4,2,4
474,3,3,3,3,3,1,2,3
475,1,1,1,1,1,1,1,3
476,3,1,1,3,1,1,1,3
477,5,5,4,2,4,4,4,4
478,3,3,4,4,4,4,4,3
479,4,4,4,4,4,3,3,4
480,1,1,2,3,1,3,3,3
481,3,4,4,3,4,4,3,2
482,4,5,4,4,5,4,4,4
483,4,4,3,4,3,4,4,3
484,1,1,1,1,2,2,2,1
485,2,3,5,2,2,2,2,4
486,4,4,5,3,4,4,3,4
487,4,4,4,4,4,4,4,4
488,4,4,4,3,4,4,3,4
489,2,4,2,2,2,4,2,2
490,4,4,4,3,4,4,4,3
491,2,3,2,1,2,1,3,1
492,4,3,2,2,4,4,4,2
493,5,4,5,2,2,2,3,3
494,4,4,4,2,3,3,3,3
495,4,4,4,2,2,4,4,2
496,1,2,3,1,2,1,3,3
497,4,4,4,2,4,2,3,3
498,4,4,5,3,3,3,4,4
499,3,1,1,1,1,3,2,1
500,4,4,4,4,4,4,4,4
501,4,4,3,3,4,4,3,4
502,4,4,4,4,4,4,4,4
503,5,4,5,2,4,5,5,5
504,3,2,3,3,1,2,3,3
505,4,3,4,2,2,3,2,1
506,4,4,2,2,3,4,3,3
507,4,4,5,4,5,3,5,5
508,4,4,3,4,3,2,4,4
509,1,1,3,3,1,3,2,2
510,5,5,5,5,5,5,5,5
511,5,4,5,4,4,4,4,5
512,3,4,2,2,3,2,3,3
513,4,5,4,3,4,3,4,5
514,4,5,4,3,4,3,4,5
515,4,4,4,2,4,4,4,4
516,4,3,5,4,4,5,4,2
517,4,4,4,3,3,5,3,3
518,2,2,4,4,4,4,4,3
519,2,2,4,4,4,4,4,3
520,2,2,2,2,2,2,1,1
521,4,4,4,3,5,5,5,3
522,5,5,4,3,5,5,5,5
523,4,4,4,4,4,3,3,3
524,4,5,5,5,4,4,5,5
525,4,3,4,4,4,3,4,3
526,5,5,4,4,4,5,4,4
527,4,4,4,4,4,4,4,4
528,5,4,5,5,5,4,4,4
529,4,5,5,5,4,4,4,5
530,3,3,4,4,3,2,2,3
531,5,5,5,5,5,5,5,5
532,4,3,4,4,5,4,4,4
533,4,5,3,3,3,4,3,3
534,4,4,4,4,4,4,4,5
535,5,4,5,3,2,4,5,2
536,3,4,4,3,4,4,4,4
537,1,2,3,2,1,2,2,3
